District,Chiefdom,Name of PHU,Community,School Name,School Enrollment,EMIS Number,School Status
PORT LOKO,KOYA,Masiaka CHC,MASIAKA (KOYA),SAINT AMBROSE PRIMARY SCHOOL,601,3306-2-03630,Old
PORT LOKO,KOYA,Masiaka CHC,MASIAKA (KOYA),GO PRIMARY SCHOOL MASIAKA,274,3306-2-03536,Old
PORT LOKO,KOYA,Masiaka CHC,MASIAKA (KOYA),SIERRA LEONE ISLAMIC FEDERATION PRIMARY SCHOOL,504,3306-2-03538,Old
PORT LOKO,KOYA,Masiaka CHC,MASALIA (KOYA),SAMMY C'S PRIMARY SCHOOL,162,3306-2-03532,Old
PORT LOKO,KOYA,Masiaka CHC,MASIAKA (KOYA),ASSEMBLY OF GOD PRIMARY SCHOOL MASIAKA,74,3306-2-03547,Old
PORT LOKO,KOYA,Masiaka CHC,MAKABBIE (KOYA),AHMADIYYA MUSLIM PRIMARY SCHOOL,251,3306-2-03598,Old
PORT LOKO,KOYA,Masiaka CHC,ROKNOLA (KOYA),EVANGELICAL MODEL PRIIMARY SCHOOL,284,3306-2-03599,Old
PORT LOKO,KOYA,Masiaka CHC,MASORIE BAIMBA (KOYA),SIERRA LEONE ISLAMIC FEDERATION PRIMARY SCHOOL,232,3306-2-03553,Old
PORT LOKO,KOYA,Masiaka CHC,MASIAKA (KOYA),SAINT JAMES ANGLICAN PRIMARY SCHOOL,178,3306-2-03631,Old
PORT LOKO,KOYA,Masiaka CHC,MASERAY (KOYA),EVANGELICAL MODEL PRIIMARY SCHOOL,328,3306-2-03533,Old
PORT LOKO,KOYA,Masiaka CHC,MAFORAY (KOYA),SAMMY C'S,123,3306-2-03600,Old
PORT LOKO,KOYA,Masiaka CHC,MAKOLERR (KOYA),MARAMPA ACADEMY PRIMARY SCHOOL,195,3306-2-11975,Old
PORT LOKO,KOYA,Masiaka CHC,MAGBANDO (KOYA),EVANGELICAL MODEL PRIIMARY SCHOOL,276,3306-2-03525,Old
PORT LOKO,KOYA,Masiaka CHC,MASIAKA (KOYA),EVANGELICAL MODEL PRIIMARY SCHOOL,276,3306-2-03535,Old
PORT LOKO,KOYA,Masiaka CHC,"MASIAKA, BO ROAD (KOYA)",SDA PRIMARY SCHOOL,109,9999-9-99999,Old
PORT LOKO,LOKOMASAMA,Masilamani CHP,MASILMANI (LOKOMASAMA),KING FAHAD ISLAMIC PRIMARY SCHOOL MASILMANI,595,3307-2-03737,New
PORT LOKO,LOKOMASAMA,Masilamani CHP,MASULAYMANI (LOKOMASAMA),MOVEMENT OF FAITH ISLAMIC PRIMARY SECONDARY SCHOOL,755,3307-2-12454,Old
PORT LOKO,LOKOMASAMA,Masilamani CHP,KITOCK (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,242,3307-2-03735,Old
PORT LOKO,MASIMERA,MASIMERA CHC,ROBAYALAH,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,140,3312-2-03976,Old
PORT LOKO,MASIMERA,MASIMERA CHC,MABALLAH,COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,87,3312-2-03979,Old
PORT LOKO,MASIMERA,MASIMERA CHC,MASIMERA,SAINT FRANCIS ROMAN CATHOLIC PRIMARY SCHOOL,440,3312-2-03984,Old
PORT LOKO,MASIMERA,MASIMERA CHC,ROSINT THONKLA (MASIMERA),KING FAHAD PRIMARY THONKLA MASIMERA,272,3312-2-03996,Old
PORT LOKO,MASIMERA,MASIMERA CHC,ROFUTHA (MASIMERA),BETHLHEN PRIMARY SCHOOL ROFUTHA,291,3312-2-03985,Old
PORT LOKO,MASIMERA,MASMERA CHC,MAKONTEH,COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,187,3312-2-03977,Old
PORT LOKO,MASIMERA,MASIMERA CHC,MASIMERA,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,171,9999-9-99999,Old
PORT LOKO,MASIMERA,MASIMERA CHC,PETIFU LONKOH,COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,170,9999-9-99999,New
PORT LOKO,BUREH,Masssseh MCHP,MAYOISOR (BUREH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,329,3302-2-03258,New
PORT LOKO,BUREH,Masssseh MCHP,MAMANKA (BUREH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,315,3302-2-03262,Old
PORT LOKO,BUREH,Masssseh MCHP,MANAGHATTA (BUREH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,268,3302-2-03261,Old
PORT LOKO,KOYA,Masumana CHP,MASUMANA (KOYA),CHURCH OF GOD PRIMARY SCHOOL,221,3306-2-03556,Old
PORT LOKO,KOYA,Masumana CHP,MAFINTHA (KOYA),EVANGELICAL MODEL PRIIMARY SCHOOL,358,3306-2-03551,Old
PORT LOKO,KOYA,Masumana CHP,MADIGBA BUNDU,EVANGELICAL PRIIMARY SCHOOL,340,9999-9-99999,Old
PORT LOKO,KOYA,Masumana CHP,MABILLA,ACAMEDY PRIMARY SCHOOL,0,9999-9-99999,New
PORT LOKO,MASIMERA,MATHAINEH MCHP,MATMAINEH (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,222,3312-2-03966,New
PORT LOKO,MASIMERA,MATHAINEH MCHP,MAGBEMGBEH (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,267,3312-2-03954,Old
PORT LOKO,MASIMERA,MATHAINEH MCHP,MAMOTTOR (MASIMERA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,200,3312-2-03963,Old
PORT LOKO,LOKOMASAMA,Mathen MCHP,FORIKOLO (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,399,3307-2-03718,Old
PORT LOKO,LOKOMASAMA,Mathen MCHP,MATHEN (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,402,3307-2-03714,Old
PORT LOKO,LOKOMASAMA,Mathen MCHP,LAMINAYA (LOKOMASAMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,146,3307-2-03717,Old
PORT LOKO,KOYA,Mawoma MCHP,MAMULAI (KOYA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,275,3306-2-03645,Old
PORT LOKO,KOYA,Mawoma MCHP,MAWOMA (KOYA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,482,3306-2-03638,Old
PORT LOKO,KOYA,Mawoma MCHP,MAMOA (KOYA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,284,3306-2-03603,Old
PORT LOKO,KOYA,Mawoma MCHP,MADIWA (KOYA),MARAMPA ACADEMY PRIMARY SCHOOL,136,3306-2-11976,Old
PORT LOKO,MASIMERA,Mayola lal ratun MCHP,MAY0LLAL-LAL,EVANGELICAL MODEL PRIIMARY SCHOOL,345,3312-2-04000,Old
PORT LOKO,MASIMERA,Mayola lal ratun MCHP,MASAKIE,EVANGELICAL MODEL PRIIMARY SCHOOL,282,3312-2-03999,Old
PORT LOKO,MASIMERA,Mayola lal ratun MCHP,MAGBANA CONTEH,ROMAN CATHOLIC PRIMARY SCHOOL,298,3312-2-03998,Old
PORT LOKO,MASIMERA,Mayola lal ratun MCHP,PETIFU DEEN,ROYAL ACADEMY PRIMARY SCHOOL,264,3312-2-14486,Old
PORT LOKO,MASIMERA,MAYOMBO MCHP,ROBALLAN,KING FAHAD ISLAMIC PRIMARY SCHOOL ROBALLAN,274,3312-2-03971,Old
PORT LOKO,MASIMERA,MAYOMBO MCHP,MAGBENDEH,COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,107,3312-2-03978,Old
PORT LOKO,MASIMERA,MAYOMBO MCHP,MAYOMBO,ROYAL ACADEMY PRIMARY SCHOOL,216,3312-2-13858,Old
PORT LOKO,MASIMERA,MAYOMBO MCHP,MAMANGO,COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,240,3312-2-03973,Old
PORT LOKO,MASIMERA,MAYOMBO MCHP,MAKONKO,COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,69,9999-9-99999,Old
PORT LOKO,LOKOMASAMA,Menika CHP,MENIKA (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,298,3307-2-03739,New
PORT LOKO,LOKOMASAMA,Menika CHP,SANKOYA (LOKOMASAMA),CHURCH OF GOD PRIMARY SCHOOL,203,3307-2-03743,Old
PORT LOKO,LOKOMASAMA,Menika CHP,BOMPA (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,294,3307-2-03733,Old
PORT LOKO,LOKOMASAMA,Menika CHP,YURIKA (LOKOMASAMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,311,3307-2-03744,Old
PORT LOKO,KOYA,Mile 38 CHC,ROWAL (KOYA),SIERRA LEONE ISLAMIC ACADEMY PRIMARY SCHOOL,255,3306-2-03660,Old
PORT LOKO,KOYA,Mile 38 CHC,ROPABLE,AFRICAN CHRISTIAN FELLOWSHIP PRIMARY SCHOOL,96,3306-2-15273,Old
PORT LOKO,KOYA,Mile 38 CHC,ROKUPR (KOYA),SDA PRIMARY SCHOOL,108,3306-2-11981,Old
PORT LOKO,KOYA,Mile 38 CHC,MAMAMAH (KOYA),DIVERSITY INTERNATIONAL PRIMARY SCHOOL,452,3306-2-03579,Old
PORT LOKO,KOYA,Mile 38 CHC,LIMBA CORNER (KOYA),PRESBYTERIAN COMMUNITY PRIMARY SCHOOL LIMBA,191,3306-2-03523,Old
PORT LOKO,KOYA,Mile 38 CHC,ROPATH (KOYA),CHURCH OF GOD OF PROPHECY PRIMARY SCHOOL ROPATH,234,3306-2-03521,Old
PORT LOKO,KOYA,Mile 38 CHC,MILE 38 (KOYA),CHURCH OF GOD PROPHECY MAGBONTHOBOR,598,3306-2-03587,Old
PORT LOKO,KOYA,Mile 38 CHC,ROPATH (KOYA),CREATIVE KIDS CARING PRIMARY SCHOOLS,121,3306-2-03522,Old
PORT LOKO,KOYA,Mile 38 CHC,ROPATH (KOYA),CHARITY OPHANAGE PRIMARY SCHOOL,129,3306-2-11971,Old
PORT LOKO,KOYA,Mile 38 CHC,MATAIBAIN (KOYA),MATAIBAIN COMMUNITY PRIMARY SCHOOL,190,3306-2-11977,Old
PORT LOKO,KOYA,Mile 38 CHC,BANDASIRMA (KOYA),EVANGELICAL MODEL PRIIMARY SCHOOL,338,3306-2-03659,Old
PORT LOKO,KOYA,Mile 38 CHC,MASAKARAY (KOYA),CHRIST CENTERED PRIMARY SCHOOL MASAKARAY,232,3306-2-03526,Old
PORT LOKO,KOYA,Mile 38 CHC,MASAMPA (KOYA),IBRAHIM T COMMUNITY PRIMARY SCHOOL,190,3306-2-03559,Old
PORT LOKO,KOYA,Mile 38 CHC,MABALLAY (KOYA),EVANGELICAL MODEL PRIIMARY SCHOOL,297,3306-2-03576,Old
PORT LOKO,KOYA,Mile 38 CHC,MILE 38 (KOYA),MOUNT ZION BAPTIST PRIMARY SCHOOL MILE 38,183,3306-2-03597,Old
PORT LOKO,KOYA,Mile 38 CHC,MAKANDEH (KOYA),CHURCH OF GOD PRIMARY SCHOOL MAKANDEH,348,3306-2-03548,Old
PORT LOKO,KOYA,Mile 38 CHC,MAMAMAH (KOYA),SAINT MICHEALS ROMAN CATHOLIC PRIMARY SCHOOL,643,3306-2-03577,Old
PORT LOKO,KOYA,Mile 38 CHC,MILE 38 KOYA,AHMADIYYA MUSLIM SCHOOL,55,9999-9-99999,Old
PORT LOKO,KOYA,Mile 38 CHC,MILE 38 OLD ROAD (KOYA),EVANGELICAL PRIIMARY SCHOOL,99,9999-9-99999,New
PORT LOKO,KOYA,Mile 38 CHC,ROWAL (KOYA),COMMUNITY PRIMARY SCHOOL,131,9999-9-99999,New
PORT LOKO,MACONTEH,Minthomore CHP,MINTHOMORE (MACONTEH),ROMAN CATHOLIC PRIMARY SCHOOL,404,3308-2-03758,New
PORT LOKO,MACONTEH,Minthomore CHP,RO-GBESSEH (MACONTEH),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,274,3308-2-03759,Old
PORT LOKO,MACONTEH,Minthomore CHP,ROSELLA (MACONTEH),AFRICA METHODIST EPISCOPAL PRIMARY SCHOOL,270,3308-2-03756,Old
PORT LOKO,MACONTEH,Minthomore CHP,MAKOBA (MACONTEH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,455,3308-2-03753,Old
PORT LOKO,KAFFU BULLOM,MODIA CHC,LUNGI TOWN (KAFFU BULLOM),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,205,3303-2-03349,Old
PORT LOKO,KAFFU BULLOM,MODIA CHC,LUNGI TOWN (KAFFU BULLOM),SUSU GOSPEL PRIMARY SCHOOL MODIA LUNGI,424,3303-2-03411,Old
PORT LOKO,KAFFU BULLOM,MODIA CHC,LUNGI TOWN (KAFFU BULLOM),HOLY CROSS ROMAN CATHOLIC PRIMARY SCHOOL,416,3303-2-03410,Old
PORT LOKO,KAFFU BULLOM,MODIA CHC,WASAYA,Royal Science Academy,172,9999-9-99999,Old
PORT LOKO,KAFFU BULLOM,MODIA CHC,KAGBATAMA,Fread Renne Primary School,107,9999-9-99999,New
PORT LOKO,KAFFU BULLOM,MODIA CHC,ROGBONKOH,Gbate Mission Primary School,74,9999-9-99999,New
PORT LOKO,LOKOMASAMA,Musaia CHP,MATHONG (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,298,3307-2-03738,New
PORT LOKO,LOKOMASAMA,Musaia CHP,TIFFIN (LOKOMASAMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,285,3307-2-03734,Old
PORT LOKO,LOKOMASAMA,Musaia CHP,SAKAYA (LOKOMASAMA),ISLAMIC DAWA D.C SAKAYA,257,3307-2-03742,Old
PORT LOKO,LOKOMASAMA,Musaia CHP,GBONKO KABONKO (LOKOMASAMA),KANKAYLAY PRIMARY SCHOOL,440,3307-2-03729,Old
PORT LOKO,LOKOMASAMA,Musaia CHP,MUSAIYA (LOKOMASAMA),SAINT MARTIN ROMAN CATHOLIC PRIMARY SCHOOL,543,3307-2-03740,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,ROTAPRR (MAFORKI),SAINT THERESA ROMAN CATHOLIC PRIMARY SCHOOL,99,3309-2-03777,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,ROFANKAH (MAFORKI),LOVE'S PRIMARY SCHOOL,242,3309-2-03818,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,MAFORKI TOWN,FREE PENTECOSTAL MISSION PRIMARY SCHOOL,109,3309-2-13803,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,OLD PORT LOKO (MAFORKI),AHMADIYYA MUSLIM PRIMARY SCHOOL,197,3309-2-03823,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,OLD PORT LOKO (MAFORKI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,548,3309-2-03824,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,NEW MAFORKI TOWN (MAFORKI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,470,3309-2-03820,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,ROMANKNE,KANKAYLAY ISLAMIC PRIMARY SCHOOL,122,3309-2-13804,Old
PORT LOKO,MAFORKI,NEW MAFORKI CHP,OLD PORTLOKO (MAFORKI),EVERY NATION ACADEMY PRIMARY SCHOOL,67,3309-2-03830,Old
PORT LOKO,MASIMERA,NONKOBA CHP,NONKOBA (MASIMERA),DISTRICT EDUCATION COMMITTEE BAPTIST PRIMARY SCHOOL,298,3312-2-04005,Old
PORT LOKO,MASIMERA,NONKOBA CHP,KUKUNA (MASIMERA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,274,3312-2-04004,Old
PORT LOKO,MASIMERA,NONKOBA CHP,MAMANSO (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,215,3312-2-04008,Old
PORT LOKO,MASIMERA,NONKOBA CHP,MAMOYOB (MASIMERA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,226,3312-2-04009,Old
PORT LOKO,MASIMERA,NONKOBA CHP,MASINEH (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,292,3312-2-03987,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,PATIFU JUNCTION (LOKOMASAMA),SAINT PAUL'S ROMAN CATHOLIC PRIMARY SCHOOL,322,3307-2-03721,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,KOMRABAI (LOKOMASAMA),HIDAYA FOUNDATION CHARITY PRIMARY SCHOOL,201,3307-2-11997,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,BAKOLO (LOKOMASAMA),SAINT GEORGE ROMAN CATHOLIC PRIMARY SCHOOL,355,3307-2-03727,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,KAMBIA WORREH (LOKOMASAMA),KANKAYLAY ISLAMIC PRIMARY,295,3307-2-03724,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,KOMRABAI (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,335,3307-2-03709,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,MATHEEM (LOKOMASAMA),KANKAYLAY ISLAMIC PRIMARY SCHOOL,203,3307-2-03713,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,GBOM MAKASSAY (LOKOMASAMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,271,3307-2-03728,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,LOKOMASAMA,SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,379,3307-2-03711,Old
PORT LOKO,LOKOMASAMA,Petifu Junction CHC,KARMA (LOKOMASAMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,371,3307-2-03716,Old
PORT LOKO,MAFORKI,PETIFU MAFORKI MCHP,MAKELFA (MAFORKI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,172,3309-2-03784,Old
PORT LOKO,MAFORKI,PETIFU MAFORKI MCHP,PITIFU (MAFORKI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,155,3309-2-03785,Old
PORT LOKO,MAFORKI,PETIFU MAFORKI MCHP,GBOKOHMAYIRA (MAFORKI),KHULAFAI RASHIDEEN ISLAMIC PRIMARY SCHOOL,229,3309-2-03786,Old
PORT LOKO,KAMASONDO,Pepel CHC,PEPEL (KAMASONDO),HOLY CROSS ROMAN CATHOLIC PRIMARY SCHOOL,343,3304-2-03466,Old
PORT LOKO,KAMASONDO,Pepel CHC,PEPEL (KAMASONDO),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,539,3304-2-03468,Old
PORT LOKO,KAMASONDO,Pepel CHC,PEPEL (KAMASONDO),SIERRA LEONE CHURCH PRIMARY SCHOOL,300,3304-2-03467,Old
PORT LOKO,KAMASONDO,Pepel CHC,MADINA (KAMASONDO),KANKAYLAY ISLAMIC PRIMARY SCHOOL MADINA,228,3304-2-03462,Old
PORT LOKO,KAMASONDO,Pepel CHC,PEPEL (KAMASONDO),WONDERS PRIMARY SCHOOL,252,3304-2-03470,Old
PORT LOKO,KAMASONDO,Pepel CHC,PEPEL (KAMASONDO),HERETAGE PRIMARY SCHOOL,69,3304-2-03472,Old
PORT LOKO,KAMASONDO,Pepel CHC,Sengbeh,Sengbeh Commnity Primary School,213,9999-9-99999,Old
PORT LOKO,THAINKATOPA,ROBAKA MCHP,MASANGBAN (THAINKATOPA),ROMAN CATHOLIC PRIMARY SCHOOL,290,3313-2-04025,New
PORT LOKO,THAINKATOPA,ROBAKA MCHP,ROBOMP (THAINKATOPA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,186,3313-2-04019,New
PORT LOKO,THAINKATOPA,ROBAKA MCHP,ROBANKA (THAINKATOPA),MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL,134,3313-2-04018,Old
PORT LOKO,THAINKATOPA,ROBAKA MCHP,ROBAKA (THAINKATOPA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,239,3313-2-04017,Old
PORT LOKO,MARAMPA,ROBOMBEH CHC,MABAMBU (MARAMPA),CHARITY PRIMARY SCHOOL MABAMBU VILLAGE,175,3311-2-03907,Old
PORT LOKO,MARAMPA,ROBOMBEH CHC,ROTHARON (MARAMPA),ALHADI ISLAMIC PRIMARY SCHOOL,326,3311-2-03908,Old
PORT LOKO,MARAMPA,ROBOMBEH CHC,MASETHLEH (MARAMPA),MASETHLEH PRIMARY SCHOOL,68,3311-2-03905,Old
PORT LOKO,MARAMPA,ROBOMBEH CHC,ROBOMBEH VILLAGE (MARAMPA),CHURCH OF GOD OF PROPHECY PRIMARY SCHOOL,228,3311-2-03904,Old
PORT LOKO,KOYA,Rofoindu CHP,MATEIKOH (KOYA),CHURCH OF GOD PRIMARY SCHOOL,268,3306-2-03539,Old
PORT LOKO,KASSEH,Rogballan Kasseh MCHP,ROTHENTI (KASSEH),AHMADIYYA MUSLIM PRIMARY SCHOOL,258,3305-2-03507,Old
PORT LOKO,KASSEH,Rogballan Kasseh MCHP,ROGBLAN KASSEH (KASSEH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,251,3305-2-03514,Old
PORT LOKO,THAINKATOPA,ROGBANEH MCHP,ROGONGHA (THAINKATOPA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,348,3313-2-04027,Old
PORT LOKO,THAINKATOPA,ROGBANEH MCHP,MASINEH (THAINKATOPA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,195,3313-2-04026,Old
PORT LOKO,THAINKATOPA,ROGBANEH MCHP,MAMBOI (THAINKATOPA),MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL,233,3313-2-04022,Old
PORT LOKO,MAFORKI,ROGBERE CHC,ROGBERE JUNCTION (MAFORKI),SIERRA LEONE CHURCH PRIMARY SCHOOL,101,3309-2-03772,Old
PORT LOKO,MAFORKI,ROGBERE CHC,ROGBERE JUNCTION (MAFORKI),JEREMIAH CHILDREN'S FOUNDATION PRIMARY SCHOOL,91,3309-2-03773,Old
PORT LOKO,MAFORKI,ROGBERE CHC,GBARAY JUNCTION (MAFORKI),PHIL-ROCHE,225,3309-2-03765,Old
PORT LOKO,MAFORKI,ROGBERE CHC,ROGBERE JUNCTION (MAFORKI),FAITH ACADEMY PRIMARY SCHOOL,181,3309-2-03764,Old
PORT LOKO,MAFORKI,ROGBERE CHC,ROTHUK (MAFORKI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,150,3309-2-03808,Old
PORT LOKO,MAFORKI,ROGBERE CHC,MASORIA,MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL,137,3309-2-13807,Old
PORT LOKO,MAFORKI,ROGBERE CHC,LUNGI- KOROMA (MAFORKI),BAPTIST MODEL PRIMARY SCHOOL,194,3309-2-03763,Old
PORT LOKO,MAFORKI,ROGBERE CHC,GBARAY JUNCTION (MAFORKI),BAPTIST MODEL PRIMARY SCHOOL,229,3309-2-03766,Old
PORT LOKO,MARAMPA,ROGBERE CHC,MAKERIFIE YASSAY (MARAMPA),JEREMIAH PRIMARY SCHOOL,261,3311-2-03925,Old
PORT LOKO,MARAMPA,ROGBERE CHC,LAL BANKA (MARAMPA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,242,3311-2-03870,Old
PORT LOKO,MASIMERA,ROKASSA CHC,MAROTO (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,259,3312-2-03955,Old
PORT LOKO,MASIMERA,ROKASSA CHC,ROKASSA (MASIMERA),CHILDREN OF HOPE PRIMARY SCHOOL,271,3312-2-03957,Old
PORT LOKO,MASIMERA,ROKEL CHP,ROKEL (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,237,3312-2-04007,Old
PORT LOKO,MASIMERA,ROKEL CHP,MASSAWURR (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,253,3312-2-03965,Old
PORT LOKO,MASIMERA,ROKEL CHP,BENKIA (MASIMERA),EVANGELICAL MODEL PRIIMARY SCHOOL,210,3312-2-04006,Old
PORT LOKO,MASIMERA,ROKEL CHP,ROKON,UNITED METHODIST CHURCH PRIMARY SCHOOL,266,3312-2-03964,Old
PORT LOKO,KOYA,Rokon CHP,ROFUTHA (KOYA),CHURCH OF GOD PRIMARY SCHOOL,291,3306-2-03561,Old
PORT LOKO,KOYA,Rokon CHP,ROKON (KOYA),GO PRIMARY SCHOOL,188,3306-2-03562,Old
PORT LOKO,KOYA,Rokon CHP,KOMRABAI N'FAH CONTEH (KOYA),COMMUNITY PRIMARY SCHOOL/DUPLICATE,123,3306-2-03563,Old
PORT LOKO,MARAMPA,ROLEMBRAY MCHP,KEREFAY VILLAGE (MARAMPA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,251,3311-2-03877,Old
PORT LOKO,KASSEH,Romeni MCHP,ROMENI (KASSEH),SAINT PETERS ROMAN CATHOLIC PRIMARY SCHOOL,313,3305-2-03512,Old
PORT LOKO,KASSEH,Romeni MCHP,ROKEN KASSEH (KASSEH),MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL,186,3305-2-03511,Old
PORT LOKO,KASSEH,Romeni MCHP,ROKTOLON (KASSEH),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,240,3305-2-03515,Old
PORT LOKO,MASIMERA,ROTHEREN MCHP,ROTHEREN (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,167,3312-2-03956,Old
PORT LOKO,MASIMERA,ROTHOMA MCHP,ROTHOMA (MASIMERA),KING FAHAD ISLAMIC PRIMARY SCHOOL ROHTOMA,231,3312-2-04010,Old
PORT LOKO,MASIMERA,ROTHOMA MCHP,YONIPET (MASIMERA),KING FAHAD ISLAMIC PRIMARY SCHOOL YONIPET,218,3312-2-04011,Old
PORT LOKO,MASIMERA,ROTHOMA MCHP,MAYELIE MASA,COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,95,3312-2-04013,Old
PORT LOKO,MASIMERA,ROTHOMA MCHP,ROLAL MASEMBU (MASIMERA),COMMUNITY EDUCATION DEVELOPMENT PRIMARY SCHOOL,192,3312-2-03950,Old
PORT LOKO,MASIMERA,ROTHOMA MCHP,MABANTANU,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,150,3312-2-03974,Old
PORT LOKO,MASIMERA,ROYEIBEN CHP,ROKOLON (MASIMERA),ROMAN CATHOLIC PRIMARY SCHOOL,134,3312-2-03991,Old
PORT LOKO,MASIMERA,ROYEIBEN CHP,KONTA-MAKALBEN,FUAD MEMORAL PRIMARY SCHOOL,132,3312-2-13856,Old
PORT LOKO,MASIMERA,ROYEIBEN CHP,ROYIBEN,FUDIA ISLAMIC PRIMARY SCHOOL,127,3312-2-13857,Old
PORT LOKO,MASIMERA,ROYEIBEN CHP,MAKUSERY BANA,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,303,3312-2-03952,Old
PORT LOKO,MASIMERA,ROYEIBEN CHP,MAGBANKAY,EVANGELICAL MODEL PRIIMARY SCHOOL,390,3312-2-03988,Old
PORT LOKO,BAKEH LOKO,SLC clinic,MAGBENI (BAKEH LOKO),AME PRIMARY SCHOOL,288,3301-2-03226,Old
